palavra;frequencia;;
melhor;13;;5 quem
domingo;6;;1 olar
quem;5;;1 onde
filme;4;;1 sonora
original;3;;1 foto
filmes;2;;1 nova
deixe;2;;1 ansiedade
chegou;2;;2 filmes
coadjuvante;2;;1 finalmente
neste;2;;2 deixe
roteiro;2;;1 pronto
hoje;2;;1 semana
todos;2;;1 teremos
como;2;;2 chegou
acabei;2;;1 assisti
apostas;2;;4 filme
terminei;2;;1 bonita
atriz;2;;1 mais
nunca;2;;1 essa
deve;2;;1 palpiteiro
saber;2;;1 canção
ator;2;;2 coadjuvante
never;2;;1 suas
ganhar;2;;1 belos
indicado;2;;1 crítico
look;2;;1 quer
para;2;;1 ganhou
away;2;;1 algumas
olar;1;;1 documentário
onde;1;;1 leva
sonora;1;;1 temos
foto;1;;1 adaptado
nova;1;;2 neste
ansiedade;1;;2 roteiro
finalmente;1;;1 chego
pronto;1;;2 hoje
semana;1;;1 categorias
teremos;1;;1 aguardando
assisti;1;;1 coloca
bonita;1;;1 você
mais;1;;2 todos
essa;1;;1 chateada
palpiteiro;1;;1 portal
canção;1;;1 quero
suas;1;;1 ansioso
belos;1;;1 daqueles
crítico;1;;2 como
quer;1;;1 nasce
ganhou;1;;1 produções
algumas;1;;2 acabei
documentário;1;;1 fotografia
leva;1;;1 live
temos;1;;1 pôster
adaptado;1;;2 apostas
chego;1;;1 chegando
categorias;1;;2 terminei
aguardando;1;;1 façam
coloca;1;;1 ponto
você;1;;1 esse
chateada;1;;1 mexeu
portal;1;;1 comigo
quero;1;;1 gostou
ansioso;1;;2 atriz
daqueles;1;;1 principais
nasce;1;;1 disponível
produções;1;;1 coluna
fotografia;1;;1 trilha
live;1;;1 acontece
pôster;1;;1 sobre
chegando;1;;1 demorei
façam;1;;2 nunca
ponto;1;;1 todo
esse;1;;1 anotem
mexeu;1;;2 deve
comigo;1;;2 saber
gostou;1;;2 ator
principais;1;;1 ditas
disponível;1;;2 never
coluna;1;;1 podia
trilha;1;;1 números
acontece;1;;1 pegue
sobre;1;;1 reta
demorei;1;;2 ganhar
todo;1;;1 candidatos
anotem;1;;1 final
ditas;1;;1 minhas
podia;1;;1 visite
números;1;;1 blackkklansman
pegue;1;;13 melhor
reta;1;;1 cancelem
candidatos;1;;6 domingo
final;1;;1 primeira
minhas;1;;2 indicado
visite;1;;3 original
blackkklansman;1;;1 desta
cancelem;1;;2 look
primeira;1;;2 para
desta;1;;1 também
também;1;;1 aqui
aqui;1;;1 saiu
saiu;1;;1 ouça
ouça;1;;1 deveria
deveria;1;;1 estrangeiro
estrangeiro;1;;1 pela
pela;1;;1 preparar
preparar;1;;1 roma
roma;1;;1 galera
galera;1;;2 away
