;id;datetime;created_at;tweet
0;1098983182555406336;2019-02-22 16:29:43;22-02-2019 16:29:43;Aclamado filme de Alfonso Cuarón Roma já é um dos eixos centrais da temporada de premiações no cinema mas quais são suas reais chances no Oscar gt
1;1098982312786710531;2019-02-22 16:26:16;22-02-2019 16:26:16;Contando os dias para o
2;1098981761256751104;2019-02-22 16:24:04;22-02-2019 16:24:04;Disputa por Ator no Oscar teve alternância de favoritos durante a corrida pelo Oscar e se destaca por ter quatro interpretações de pessoas reais entenda o páreo gt
3;1098981484461985793;2019-02-22 16:22:58;22-02-2019 16:22:58;Tá mas a Lady Gaga merece o Oscar de Melhor Atriz Eu
4;1098980976586305537;2019-02-22 16:20:57;22-02-2019 16:20:57;Mas você não acha que o filme da Lady Gaga merece o Oscar de Melhor Filme Eu
5;1098980536943591427;2019-02-22 16:19:12;22-02-2019 16:19:12;Enquanto vc dava moral para um evento norte americano o teu país continua sendo assaltado e destruído por bandidos milicianos a mando do acredite
6;1098980413018701824;2019-02-22 16:18:43;22-02-2019 16:18:43;O que você achou da indicação do Pantera Negra como Melhor Filme Eu
7;1098979123559653376;2019-02-22 16:13:35;22-02-2019 16:13:35;Capernaum
8;1098978969565704195;2019-02-22 16:12:59;22-02-2019 16:12:59;A cerimônia do está chegando e o time da Globo do E e da TNT já está escalado Veja detalhes de como vai funcionar a cobertura do evento gt
10;1098977785601765376;2019-02-22 16:08:16;22-02-2019 16:08:16;Por favor falem dos seus favoritos para o
11;1098977657042153478;2019-02-22 16:07:46;22-02-2019 16:07:46;Absorvendo o Tabu indicado ao Oscar curta trata dos estigmas da menstruação na Índia
12;1098977143185440769;2019-02-22 16:05:43;22-02-2019 16:05:43;Quase dez anos separam os lançamentos de A Teta Assustada e Roma mas os dois filmes latino-americanos possuem muito em comum Venha saber mais
13;1098976648026828800;2019-02-22 16:03:45;22-02-2019 16:03:45;Como estão as suas apostas para o Na última semana as consultas por bolão Oscar saltaram no Brasil Veja quem são os favoritos neste ano a partir das buscas em nossa página especial
